x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
10.0,STEEL,234000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,11520.0,TOWNHALL,10.0,944.0,1.6524e6,1.6524e6,275400.0,137700.0,EXP,1038.0
11.0,STEEL,197000.0,OIL,0.0,RUBBER,20000.0,NULL,0.0,NULL,0.0,14400.0,TOWNHALL,11.0,1212.0,2.4624e6,2.4624e6,410400.0,205200.0,EXP,1333.0
12.0,STEEL,356000.0,OIL,0.0,RUBBER,36000.0,NULL,0.0,NULL,0.0,19200.0,TOWNHALL,12.0,1541.0,2.7216e6,2.7216e6,453600.0,226800.0,EXP,1695.0
13.0,STEEL,525000.0,OIL,0.0,RUBBER,53000.0,NULL,0.0,NULL,0.0,26400.0,TOWNHALL,13.0,1909.0,2.8512e6,2.8512e6,475200.0,237600.0,EXP,2099.0
14.0,STEEL,634000.0,OIL,0.0,RUBBER,63000.0,NULL,0.0,NULL,0.0,31200.0,TOWNHALL,14.0,2386.0,2.9808e6,2.9808e6,496800.0,248400.0,EXP,2624.0
15.0,STEEL,731000.0,OIL,0.0,RUBBER,73000.0,NULL,0.0,NULL,0.0,36000.0,TOWNHALL,15.0,2925.0,3.1104e6,3.1104e6,518400.0,259200.0,EXP,3217.0
16.0,STEEL,716000.0,OIL,0.0,RUBBER,72000.0,AMMO,24000.0,NULL,0.0,42000.0,TOWNHALL,16.0,3578.0,3.24e6,3.24e6,540000.0,270000.0,EXP,3935.0
17.0,STEEL,963000.0,OIL,0.0,RUBBER,96000.0,AMMO,32000.0,NULL,0.0,50400.0,TOWNHALL,17.0,4428.0,3.3696e6,3.3696e6,561600.0,280800.0,EXP,4870.0
18.0,STEEL,1.358e6,OIL,0.0,RUBBER,136000.0,AMMO,45000.0,NULL,0.0,66000.0,TOWNHALL,18.0,5430.0,3.4992e6,3.4992e6,583200.0,291600.0,EXP,5973.0
19.0,STEEL,1.665e6,OIL,0.0,RUBBER,167000.0,AMMO,56000.0,NULL,0.0,81600.0,TOWNHALL,19.0,6660.0,3.6288e6,3.6288e6,604800.0,302400.0,EXP,7326.0
20.0,STEEL,2.04e6,OIL,0.0,RUBBER,204000.0,AMMO,68000.0,NULL,0.0,97200.0,TOWNHALL,20.0,8160.0,4.698e6,4.698e6,783000.0,391500.0,EXP,8976.0
21.0,STEEL,3.312e6,OIL,0.0,RUBBER,331200.0,AMMO,110400.0,NULL,0.0,115200.0,TOWNHALL,21.0,10036.0,4.86e6,4.86e6,810000.0,405000.0,EXP,11039.0
22.0,STEEL,4.599e6,OIL,0.0,RUBBER,460600.0,AMMO,154000.0,NULL,0.0,133200.0,TOWNHALL,22.0,12167.0,5.022e6,5.022e6,837000.0,418500.0,EXP,13383.0
23.0,STEEL,6.12e6,OIL,0.0,RUBBER,612800.0,AMMO,204800.0,NULL,0.0,151200.0,TOWNHALL,23.0,14434.0,5.184e6,5.184e6,864000.0,432000.0,EXP,15877.0
24.0,STEEL,7.83e6,OIL,0.0,RUBBER,783000.0,AMMO,261000.0,NULL,0.0,168000.0,TOWNHALL,24.0,17059.0,5.346e6,5.346e6,891000.0,445500.0,EXP,18764.0
25.0,STEEL,1.062e7,OIL,0.0,RUBBER,1.062e6,AMMO,354000.0,NULL,0.0,192000.0,TOWNHALL,25.0,20038.0,5.508e6,5.508e6,918000.0,459000.0,EXP,22041.0
26.0,STEEL,1.386e7,OIL,0.0,RUBBER,1.386e6,AMMO,462000.0,NULL,0.0,216000.0,TOWNHALL,26.0,23333.0,5.67e6,5.67e6,945000.0,472500.0,EXP,25666.0
27.0,STEEL,1.854e7,OIL,0.0,RUBBER,1.8552e6,AMMO,619200.0,NULL,0.0,252000.0,TOWNHALL,27.0,27105.0,5.832e6,5.832e6,972000.0,486000.0,EXP,29815.0
28.0,STEEL,2.6013e7,OIL,0.0,RUBBER,2.6026e6,AMMO,868400.0,NULL,0.0,312000.0,TOWNHALL,28.0,32274.0,5.994e6,5.994e6,999000.0,499500.0,EXP,35501.0
29.0,STEEL,3.633e7,OIL,0.0,RUBBER,3.6344e6,AMMO,1.2124e6,NULL,0.0,384000.0,TOWNHALL,29.0,38162.0,6.156e6,6.156e6,1.026e6,513000.0,EXP,41978.0
30.0,STEEL,5.0445e7,OIL,0.0,RUBBER,5.046e6,AMMO,1.683e6,NULL,0.0,480000.0,TOWNHALL,30.0,44840.0,6.318e6,6.318e6,1.053e6,526500.0,EXP,49324.0
