x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
10.0,STEEL,351000.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,72.0,16895.0,EMBASSY,10.0,1415.0,140000.0,EXP,1556.0
11.0,STEEL,270000.0,OIL,0.0,RUBBER,34000.0,NULL,0.0,SPY_REPORT,85.0,21120.0,EMBASSY,11.0,1817.0,160000.0,EXP,1998.0
12.0,STEEL,489000.0,OIL,0.0,RUBBER,61000.0,NULL,0.0,SPY_REPORT,100.0,28160.0,EMBASSY,12.0,2311.0,200000.0,EXP,2542.0
13.0,STEEL,720000.0,OIL,0.0,RUBBER,90000.0,NULL,0.0,SPY_REPORT,116.0,38720.0,EMBASSY,13.0,2864.0,240000.0,EXP,3150.0
14.0,STEEL,869000.0,OIL,0.0,RUBBER,109000.0,NULL,0.0,SPY_REPORT,134.0,45760.0,EMBASSY,14.0,3579.0,280000.0,EXP,3936.0
15.0,STEEL,1.003e6,OIL,0.0,RUBBER,125000.0,NULL,0.0,SPY_REPORT,152.0,52800.0,EMBASSY,15.0,4388.0,320000.0,EXP,4826.0
16.0,STEEL,859000.0,OIL,0.0,RUBBER,107000.0,AMMO,54000.0,SPY_REPORT,172.0,61600.0,EMBASSY,16.0,5366.0,360000.0,EXP,5902.0
17.0,STEEL,1.156e6,OIL,0.0,RUBBER,144000.0,AMMO,72000.0,SPY_REPORT,193.0,73920.0,EMBASSY,17.0,6641.0,400000.0,EXP,7305.0
18.0,STEEL,1.629e6,OIL,0.0,RUBBER,204000.0,AMMO,102000.0,SPY_REPORT,216.0,96800.0,EMBASSY,18.0,8145.0,450000.0,EXP,8959.0
19.0,STEEL,1.998e6,OIL,0.0,RUBBER,250000.0,AMMO,125000.0,SPY_REPORT,239.0,119680.0,EMBASSY,19.0,9990.0,500000.0,EXP,10989.0
20.0,STEEL,2.448e6,OIL,0.0,RUBBER,306000.0,AMMO,153000.0,SPY_REPORT,264.0,142560.0,EMBASSY,20.0,12240.0,550000.0,EXP,13464.0
21.0,STEEL,3.9744e6,OIL,0.0,RUBBER,496800.0,AMMO,248400.0,SPY_REPORT,289.0,168960.0,EMBASSY,21.0,15055.0,600000.0,EXP,16560.0
22.0,STEEL,5.5188e6,OIL,0.0,RUBBER,690200.0,AMMO,344400.0,SPY_REPORT,316.0,195360.0,EMBASSY,22.0,18250.0,680000.0,EXP,20075.0
23.0,STEEL,7.344e6,OIL,0.0,RUBBER,918400.0,AMMO,459200.0,SPY_REPORT,344.0,221760.0,EMBASSY,23.0,21651.0,760000.0,EXP,23816.0
24.0,STEEL,9.396e6,OIL,0.0,RUBBER,1.1754e6,AMMO,586800.0,SPY_REPORT,374.0,246400.0,EMBASSY,24.0,25588.0,840000.0,EXP,28146.0
25.0,STEEL,1.2744e7,OIL,0.0,RUBBER,1.594e6,AMMO,796000.0,SPY_REPORT,404.0,281600.0,EMBASSY,25.0,30057.0,920000.0,EXP,33062.0
26.0,STEEL,1.6632e7,OIL,0.0,RUBBER,2.079e6,AMMO,1.0406e6,SPY_REPORT,436.0,316800.0,EMBASSY,26.0,35000.0,1.0e6,EXP,38500.0
27.0,STEEL,2.2248e7,OIL,0.0,RUBBER,2.7816e6,AMMO,1.3896e6,SPY_REPORT,469.0,369600.0,EMBASSY,27.0,40658.0,1.1e6,EXP,44723.0
28.0,STEEL,3.12156e7,OIL,0.0,RUBBER,3.9026e6,AMMO,1.95e6,SPY_REPORT,504.0,457600.0,EMBASSY,28.0,48411.0,1.2e6,EXP,53252.0
29.0,STEEL,4.3596e7,OIL,0.0,RUBBER,5.4488e6,AMMO,2.7244e6,SPY_REPORT,539.0,563200.0,EMBASSY,29.0,57243.0,1.3e6,EXP,62967.0
30.0,STEEL,6.0534e7,OIL,0.0,RUBBER,7.566e6,AMMO,3.783e6,SPY_REPORT,576.0,704000.0,EMBASSY,30.0,67260.0,1.4e6,EXP,73986.0
