x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
10.0,STEEL,546000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,38400.0,TOWNHALL,10.0,2202.0,12200.0,206500.0,EXP,2422.0
11.0,STEEL,619000.0,OIL,0.0,RUBBER,19000.0,NULL,0.0,NULL,0.0,48000.0,TOWNHALL,11.0,2827.0,14100.0,240800.0,EXP,3109.0
12.0,STEEL,1.12e6,OIL,0.0,RUBBER,35000.0,NULL,0.0,NULL,0.0,64000.0,TOWNHALL,12.0,3595.0,15200.0,263300.0,EXP,3954.0
13.0,STEEL,1.651e6,OIL,0.0,RUBBER,52000.0,NULL,0.0,NULL,0.0,88000.0,TOWNHALL,13.0,4455.0,16300.0,367600.0,EXP,4900.0
14.0,STEEL,1.992e6,OIL,0.0,RUBBER,62000.0,NULL,0.0,NULL,0.0,104000.0,TOWNHALL,14.0,5567.0,17500.0,478500.0,EXP,6123.0
15.0,STEEL,2.299e6,OIL,0.0,RUBBER,72000.0,NULL,0.0,NULL,0.0,120000.0,TOWNHALL,15.0,6825.0,18700.0,516600.0,EXP,7507.0
16.0,STEEL,2.671e6,OIL,0.0,RUBBER,83000.0,AMMO,14000.0,NULL,0.0,140000.0,TOWNHALL,16.0,8348.0,20300.0,665400.0,EXP,9182.0
17.0,STEEL,3.595e6,OIL,0.0,RUBBER,112000.0,AMMO,19000.0,NULL,0.0,168000.0,TOWNHALL,17.0,10331.0,22000.0,685800.0,EXP,11364.0
18.0,STEEL,5.068e6,OIL,0.0,RUBBER,158000.0,AMMO,26000.0,NULL,0.0,220000.0,TOWNHALL,18.0,12670.0,23700.0,841100.0,EXP,13937.0
19.0,STEEL,6.216e6,OIL,0.0,RUBBER,194000.0,AMMO,32000.0,NULL,0.0,272000.0,TOWNHALL,19.0,15540.0,26300.0,1.1317e6,EXP,17094.0
20.0,STEEL,7.616e6,OIL,0.0,RUBBER,238000.0,AMMO,40000.0,NULL,0.0,324000.0,TOWNHALL,20.0,19040.0,28900.0,1.2142e6,EXP,20944.0
21.0,STEEL,1.23648e7,OIL,0.0,RUBBER,386400.0,AMMO,64800.0,NULL,0.0,384000.0,TOWNHALL,21.0,23418.0,35600.0,1.2341e6,EXP,25759.0
22.0,STEEL,1.71696e7,OIL,0.0,RUBBER,536200.0,AMMO,89600.0,NULL,0.0,444000.0,TOWNHALL,22.0,28389.0,41800.0,1.7906e6,EXP,31227.0
23.0,STEEL,2.2848e7,OIL,0.0,RUBBER,713600.0,AMMO,118400.0,NULL,0.0,504000.0,TOWNHALL,23.0,33679.0,48200.0,2.0601e6,EXP,37046.0
24.0,STEEL,2.9232e7,OIL,0.0,RUBBER,914400.0,AMMO,153000.0,NULL,0.0,560000.0,TOWNHALL,24.0,39804.0,49700.0,2.1193e6,EXP,43784.0
25.0,STEEL,3.9648e7,OIL,0.0,RUBBER,1.24e6,AMMO,206000.0,NULL,0.0,640000.0,TOWNHALL,25.0,46755.0,51200.0,2.5946e6,EXP,51430.0
26.0,STEEL,5.1744e7,OIL,0.0,RUBBER,1.617e6,AMMO,270600.0,NULL,0.0,720000.0,TOWNHALL,26.0,54444.0,52800.0,3.2342e6,EXP,59888.0
27.0,STEEL,6.9216e7,OIL,0.0,RUBBER,2.1624e6,AMMO,360000.0,NULL,0.0,840000.0,TOWNHALL,27.0,63246.0,54400.0,3.3365e6,EXP,69570.0
28.0,STEEL,9.71152e7,OIL,0.0,RUBBER,3.0342e6,AMMO,507000.0,NULL,0.0,1.04e6,TOWNHALL,28.0,75306.0,56000.0,3.9896e6,EXP,82836.0
29.0,STEEL,1.35632e8,OIL,0.0,RUBBER,4.2392e6,AMMO,705600.0,NULL,0.0,1.28e6,TOWNHALL,29.0,89044.0,57700.0,4.1175e6,EXP,97948.0
30.0,STEEL,1.88328e8,OIL,0.0,RUBBER,5.886e6,AMMO,981000.0,NULL,0.0,1.6e6,TOWNHALL,30.0,104627.0,60100.0,5.1204e6,EXP,115089.0
